id,video_id,comment_id,title,text_display,text_original,description,likeCount,publishedAt,subscriberCount,videoCount,channelViewCount,authorChannelId,is_spam,checked,videoUploadedAt
1403,0-zYC-xKQcg,UgzNNPO4IWWuwT3OO2p4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,අන්තිම වෙනකම් බැලුවා නම් තමයි .. ඒත් මෙහෙම ආහාර  පරිරක්ෂනය කරලා කන්න පුළුවන් ද අනේ.. .. අපි ඒ අතින් හරි වාසනාවන්තයි.. ආදරෙයි ශ්‍රී ලංකා ????????,අන්තිම වෙනකම් බැලුවා නම් තමයි .. ඒත් මෙහෙම ආහාර  පරිරක්ෂනය කරලා කන්න පුළුවන් ද අනේ.. .. අපි ඒ අතින් හරි වාසනාවන්තයි.. ආදරෙයි ශ්‍රී ලංකා ????????,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-24 05:41:47,0,0,0,UCaoqRWZ7Gp2SWgfCSMUAMeg,0,1,2020-02-16 00:00:00
1404,0-zYC-xKQcg,UgzlJIJG3E_oydDyoyd4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,අපි ට   නම් එපා .ආහාර කියලා මේ හෙමත්  අහාර  තියෙනවා ද?????????,අපි ට   නම් එපා .ආහාර කියලා මේ හෙමත්  අහාර  තියෙනවා ද?????????,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-24 03:46:30,16,1,78,UCMuW39xPBVQTeZBf1L05Gow,0,1,2020-02-16 00:00:00
1405,0-zYC-xKQcg,UgyNlLWohg9TgJqLObR4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,ශික් අප්පා..කොහොම කනවද දන්නෑ මේවා...ඕකුන්ට ඕවා තමයි පලිසන් දෙන්නේ..ශ්‍රී ලංකාව ගැන ආඩම්බරයි...,ශික් අප්පා..කොහොම කනවද දන්නෑ මේවා...ඕකුන්ට ඕවා තමයි පලිසන් දෙන්නේ..ශ්‍රී ලංකාව ගැන ආඩම්බරයි...,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-24 01:43:56,0,0,0,UCP6FY1i_R5LK_6-OCG1hejA,0,1,2020-02-16 00:00:00
1407,0-zYC-xKQcg,Ugxf_UMmqfjR6FM8cYt4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,"චීනය, වියට්නාමය, කාම්බෝජය, ලාඕසය යන මේවා ඉස්සර ශිෂ්ට සම්පන්න බෞද්ධ රටවල්. කොමියුනිස්ට් පාලනයන් නිසා එම ජනතාවට ඔය වගේ ජරාව කන්න සිදු උනා. අපේ JVP අඩු කුලේ පර හැත්ත බලයට ආවොත්, ලංකාවේ අපිටත් ඔය වගේ ජරාව කන්න පුරුදු වෙන්න වෙයි.","චීනය, වියට්නාමය, කාම්බෝජය, ලාඕසය යන මේවා ඉස්සර ශිෂ්ට සම්පන්න බෞද්ධ රටවල්. කොමියුනිස්ට් පාලනයන් නිසා එම ජනතාවට ඔය වගේ ජරාව කන්න සිදු උනා. අපේ JVP අඩු කුලේ පර හැත්ත බලයට ආවොත්, ලංකාවේ අපිටත් ඔය වගේ ජරාව කන්න පුරුදු වෙන්න වෙයි.",කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-23 17:42:24,0,1,2,UCWupxVb2cJdSSoQ4mkMhtlQ,0,1,2020-02-16 00:00:00
1409,0-zYC-xKQcg,UgxrfTqam57x0Rr1gI14AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,හැමෝම කියන එක හරි.ලංකාව තමා උතුම්ම රට.????????????????????????????????????????,හැමෝම කියන එක හරි.ලංකාව තමා උතුම්ම රට.????????????????????????????????????????,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-23 15:39:55,0,0,0,UCKhwsrBk5mV31VwWRzhF7RA,0,1,2020-02-16 00:00:00
1413,0-zYC-xKQcg,UgwZ1UtFTcbE9F0ZHGd4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,පින්කෙත හෙල රන් දෙරනේ යලි උපදින්නට <br />හේතු වාසනා වේවා <br />හේතු වාසනා වේවා,"පින්කෙත හෙල රන් දෙරනේ යලි උපදින්නට 
හේතු වාසනා වේවා 
හේතු වාසනා වේවා",කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-23 07:38:38,0,0,0,UCy0suHKYfHUgQEQ-6cGdCCA,0,1,2020-02-16 00:00:00
1415,0-zYC-xKQcg,UgyIDhnhW0iqXBHI13Z4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,සර්ප මස් වලට වඩ හොඳයි ඔබලගෙ මස් අපිට බොකරන්න,සර්ප මස් වලට වඩ හොඳයි ඔබලගෙ මස් අපිට බොකරන්න,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-23 02:00:45,0,0,0,UC3YWDcoiXCYFHcrKHKClhYg,0,1,2020-02-16 00:00:00
1425,0-zYC-xKQcg,UgyE_ELlMiFSqFHBhxh4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,සමහර කෑම නම් ඊයා කියලා හිතෙන්නේ නෑ. හැබැයි පැටව් ඉන්න තාරා බිත්තරේ නම් කන්න බෑ.,සමහර කෑම නම් ඊයා කියලා හිතෙන්නේ නෑ. හැබැයි පැටව් ඉන්න තාරා බිත්තරේ නම් කන්න බෑ.,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,3,2020-02-22 11:57:31,1,0,0,UC-8i0ogMrjqCoCuRDLA7XSQ,0,1,2020-02-16 00:00:00
1427,0-zYC-xKQcg,UgwH9FeElhwydcAnc094AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,අම්මෝ ඒක ????????????,අම්මෝ ඒක ????????????,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,0,2020-02-22 06:00:13,0,0,0,UCqtWqzhmnCF21wubsu9ALlg,0,1,2020-02-16 00:00:00
1430,0-zYC-xKQcg,UgyrmWRRcS0bQojsLZl4AaABAg,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,ශ්‍රී ලංකාව මාරම lucky ????.. Aththamaiiii,ශ්‍රී ලංකාව මාරම lucky ????.. Aththamaiiii,කන්න තියා හිතන්නවත් බැරි ලොව හිරිකිතම ආහාර වර්ග 10ක්,3,2020-02-21 19:53:28,0,0,0,UCsfh4WKF1dJQrhGk2zEAPRg,0,1,2020-02-16 00:00:00
